train_min_idx,seconds,left_axle_speed,odo_speed,right_axle_speed
1,0,28.94184453,70.94383085,8.2137327
1,1,57.06037225,13.02885834,22.92497987
1,2,18.27371635,31.64047949,2.191523936
1,3,35.46171885,81.80029204,12.00872484
1,4,51.51961988,53.99013621,69.35308542
1,5,32.99327574,3.027084096,15.32670223
1,6,22.53137094,93.58101536,59.67742963
1,7,33.95378551,19.38900236,13.41794228
1,8,85.96054637,7.595634852,67.06339455
1,9,98.59735835,60.10533544,54.07556947
1,10,74.93830466,16.89748529,13.30473691
1,11,46.97769653,79.18670186,4.472313232
1,12,85.18869478,36.78181845,66.09025264
1,13,55.15031106,98.31337598,19.78204336
1,14,92.13631586,51.40229206,43.78598821
1,15,90.84323091,93.32436636,21.64635423
1,16,3.655768181,17.11479949,87.05694424
1,17,42.60484629,38.04129575,49.47377963
1,18,20.85019758,61.27062558,2.301858269
1,19,31.06157958,96.47319384,73.4221799
1,20,57.39635394,81.88714537,33.05685346
1,21,8.472483317,90.77169409,62.90034297
1,22,78.26421615,23.96417276,61.44175003
1,23,26.83820993,48.98865366,89.99814618
1,24,69.41266914,94.44491722,75.05507468
1,25,88.03167511,79.31330362,4.971135031
1,26,73.75553758,5.099120763,36.31161218
1,27,94.76469014,79.654166,51.16007451
1,28,45.38125805,82.23896355,24.88832133
1,29,71.09568246,23.29226138,99.82400896
1,30,84.53349672,50.09115481,53.85396842
1,31,89.65702004,50.6580228,86.2270022
1,32,52.31606569,20.85890285,26.72523113
1,33,67.87000496,70.60430103,85.221656
1,34,12.86629153,30.16869522,89.59004568
1,35,88.45320154,75.17986088,10.54699169
1,36,24.43779643,40.72642178,15.38344487
1,37,79.93066926,7.483959489,74.80236166
1,38,64.46021049,48.06385338,44.99578081
1,39,84.72821158,90.78599135,38.88312162
1,40,12.55786893,37.60570324,72.93091717
1,41,37.47310962,61.8623537,3.868628677
1,42,73.42814446,72.36996027,78.42829669
1,43,85.01004518,22.85826343,55.43168075
1,44,24.63307706,90.7614486,23.13322813
1,45,93.91003824,43.09275489,41.78355757
1,46,61.40565382,73.2300406,71.70256806
1,47,15.69796202,2.687396757,23.09633025
1,48,34.47362382,50.08106063,18.28668612
1,49,46.71593164,69.11536192,68.38987182
1,50,79.94747298,32.53806423,2.411676202
1,51,8.161544471,8.109992128,52.33015948
1,52,46.48443577,41.03254739,46.15548433
1,53,35.17795356,88.14040385,87.33950394
1,54,2.169900796,56.40368115,94.5187349
1,55,32.64542342,0.545376958,8.301357418
1,56,49.14269308,47.03452534,58.53586173
1,57,41.58736374,85.07160925,41.99154409
1,58,0.250432398,48.2828429,97.16470594
1,59,89.0255723,28.11764565,96.69255849
2,0,93.8547245,20.54498462,96.38921064
2,1,93.03154632,15.2967569,52.48777716
2,2,40.79106506,95.16420767,43.51343255
2,3,15.13751309,10.70540638,82.9710121
2,4,75.19053859,87.76996657,19.23632175
2,5,10.3695083,92.93609512,38.80282366
2,6,31.97291843,40.5442199,34.71292579
2,7,80.70901851,0.870450272,2.338960458
2,8,83.87520026,78.51024956,8.917980444
2,9,49.6510553,51.01847009,3.917281888
2,10,59.30397114,19.7883166,19.17595883
2,11,64.36111665,82.55626849,95.86580851
2,12,78.60260563,12.55479635,89.1745594
2,13,9.407830859,98.75298057,18.38574943
2,14,23.2530305,56.49046915,94.39102413
2,15,56.35042234,42.18862142,67.15780577
2,16,87.66738502,35.39482772,17.07337972
2,17,90.50348309,82.11972803,75.40323882
2,18,6.639927286,95.59053706,74.50245834
2,19,16.03896911,17.88427239,93.70465342
2,20,3.770305518,92.88610816,65.77073774
2,21,39.89879169,1.218659915,98.74573545
2,22,30.77136858,28.23923733,27.04943161
2,23,11.92216877,81.07917647,97.76249769
2,24,45.82259685,84.59242588,61.33015064
2,25,78.90912133,23.61972104,41.09234802
2,26,17.42737974,59.83955374,53.15119627
2,27,44.09633467,71.95325868,14.40888501
2,28,60.9257533,16.15953908,68.76734343
2,29,10.38247063,60.15859324,44.22082844
2,30,35.91657254,50.17315748,79.91599584
2,31,37.24438354,44.70642779,14.95587931
2,32,94.16415622,66.09688623,90.96168937
2,33,74.34589256,82.82898714,37.08321656
2,34,75.22214014,14.76267655,87.84816291
2,35,79.90838898,2.952178215,52.49278886
2,36,29.93751608,39.07152096,42.51693729
2,37,88.53305178,94.51123141,36.36944383
2,38,35.25760982,56.6883715,68.30386841
2,39,53.43271272,98.11769742,13.87514589
2,40,4.63491553,55.9776036,39.57312968
2,41,4.289883076,76.6279312,61.77623919
2,42,97.27671488,73.26628801,36.62324074
2,43,33.20615527,32.53624332,92.86166564
2,44,86.94925862,52.2744843,77.16569077
2,45,74.54786575,15.38323159,60.11840808
2,46,28.16407031,66.55419238,77.95163785
2,47,80.20161152,7.782879025,85.21131431
2,48,98.9370345,3.993829198,40.37224419
2,49,32.34985866,72.44595109,64.22167645
2,50,96.26927668,40.56149655,58.42541719
2,51,76.7839559,19.06277098,50.76010455
2,52,67.111047,18.33305538,92.69002176
2,53,92.13911117,44.96899009,96.52313516
2,54,90.99587352,98.55265836,60.25943397
2,55,49.49088165,71.41860677,19.58465424
2,56,4.477759476,43.33945377,78.07732589
2,57,94.39957077,11.13634862,23.83848382
2,58,42.01500488,7.937311478,88.73267812
